trip_start_time_day_of_week,trip_start_time_hour,trip_end_time_day_of_week,trip_end_time_hour,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
3,0,3,0,660,2.26,,,,,8.65,0.0,0.0,0.0,8.65,Cash,,,,,,,
3,0,3,0,480,0.1,17031081402,17031281900,8,28,8.05,0.0,0.0,2.5,10.55,Cash,Taxi Affiliation Services,41.891971508,-87.612945414,POINT (-87.6129454143 41.8919715078),41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844)
3,0,3,0,660,6.95,,,,,16.25,0.0,0.0,0.0,16.25,Cash,,,,,,,
3,0,3,0,1380,10.3,17031839100,17031030400,32,77,22.85,0.0,0.0,0.0,22.85,Cash,,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.986953058,-87.672080994,POINT (-87.6720809941 41.9869530579)
3,0,3,0,360,0.0,17031833000,17031281900,28,28,6.45,0.0,0.0,1.5,7.95,No Charge,Dispatch Taxi Affiliation,41.88528132,-87.6572332,POINT (-87.6572331997 41.8852813201),41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844)
3,0,3,0,780,0.0,,,77,8,17.45,0.0,0.0,1.0,18.45,Cash,Taxi Affiliation Services,41.9867118,-87.663416405,POINT (-87.6634164054 41.9867117999),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
3,0,3,0,60,0.2,17031081700,17031081700,8,8,3.85,0.0,0.0,1.0,4.85,Cash,,41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365)
3,0,3,0,300,0.0,,,,,4.84,0.0,0.0,0.0,4.84,Cash,,,,,,,
3,0,3,0,240,0.0,,,22,22,4.45,0.0,0.0,0.0,4.45,Cash,,41.92276062,-87.699155343,POINT (-87.69915534320002 41.9227606205),41.92276062,-87.699155343,POINT (-87.69915534320002 41.9227606205)
3,0,3,0,540,0.0,,,5,22,8.25,0.0,0.0,0.0,8.25,Cash,Choice Taxi Association,41.947791586,-87.683834942,POINT (-87.6838349425 41.9477915865),41.92276062,-87.699155343,POINT (-87.69915534320002 41.9227606205)
3,0,3,0,780,1.7,,,,,8.65,0.0,0.0,1.0,9.65,Cash,,,,,,,
